[2026-05-19 12:14:08,108] [INFO] [ai_detector.logging.logger] - Logginng initialized. Logs will be Saved to: logs/2026_05_19_12_%NM_08.log
[2026-05-19 12:14:19,310] [INFO] [ai_detector.logging.logger] - Starting training...
[2026-05-19 12:14:19,310] [INFO] [ai_detector.logging.logger] - TrainingPipeline initialized
[2026-05-19 12:14:19,311] [INFO] [ai_detector.logging.logger] - Artifact directory: artifacts/2026_05_19_12_14_19
[2026-05-19 12:14:19,311] [INFO] [ai_detector.logging.logger] - 


[2026-05-19 12:14:19,311] [INFO] [ai_detector.logging.logger] - ============================================================================
[2026-05-19 12:14:19,311] [INFO] [ai_detector.logging.logger] -  STARTING COMPLETE TRAINING PIPELINE
[2026-05-19 12:14:19,311] [INFO] [ai_detector.logging.logger] - ============================================================================
[2026-05-19 12:14:19,311] [INFO] [ai_detector.logging.logger] - 
================================================================================
[2026-05-19 12:14:19,311] [INFO] [ai_detector.logging.logger] - STEP 1: DATA INGESTION
[2026-05-19 12:14:19,311] [INFO] [ai_detector.logging.logger] - ================================================================================
[2026-05-19 12:14:19,311] [INFO] [ai_detector.logging.logger] - DataIngestion Initialized
[2026-05-19 12:14:19,311] [INFO] [ai_detector.logging.logger] - Startinng DataIngestion
[2026-05-19 12:14:19,312] [INFO] [ai_detector.logging.logger] - Loading dataset from image_data
[2026-05-19 12:14:19,315] [INFO] [ai_detector.logging.logger] - Classes: {'Ai_generated_dataset': 0, 'real_dataset': 1}
[2026-05-19 12:14:19,320] [INFO] [ai_detector.logging.logger] - Total: 995 | Train: 696 | Val: 149 | Test: 150
[2026-05-19 12:14:19,322] [INFO] [ai_detector.logging.logger] - Dataset split complete
[2026-05-19 12:14:19,322] [INFO] [ai_detector.logging.logger] - DataIngestion Completed
[2026-05-19 12:14:19,323] [INFO] [ai_detector.logging.logger] - ✓ Data Ingestion complete
[2026-05-19 12:14:19,323] [INFO] [ai_detector.logging.logger] - 
================================================================================
[2026-05-19 12:14:19,323] [INFO] [ai_detector.logging.logger] - STEP 2: DATA VALIDATION
